['Belarus', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 6.8, 16.8, 32.8, 48.0, 64.0, 84.0, 103.6, 125.8, 151.0, 175.0, 199.0, 224.2, 248.6, 275.6, 302.8, 330.6, 356.6, 382.4, 411.2, 442.2, 469.0, 494.6, 518.6, 543.2, 566.8, 595.6]
['Belgium', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 5.2, 42.8, 179.4, 566.0, 1303.2, 2632.6, 4191.4, 5625.0, 6688.4, 7467.2, 7977.6, 8576.0, 8894.2, 9115.2, 9275.0, 9420.4, 9525.4, 9605.8, 9649.6, 9682.4, 9710.6, 9734.8, 9764.4, 9776.6, 9784.2, 9800.0, 9812.6, 9830.4, 9846.6, 9900.8]
['Belize', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 1.4, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.2]
['Benin', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.2, 2.0, 2.0, 2.0, 2.2, 3.0, 3.0, 3.0, 3.6, 6.0, 10.2, 13.2, 16.8, 21.0, 21.8, 26.0, 30.4, 33.4, 35.4, 36.4, 38.0]
['Bhutan', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['Bolivia', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6, 9.6, 17.2, 27.2, 32.2, 44.0, 59.0, 81.2, 112.4, 150.2, 189.2, 251.0, 299.2, 392.2, 478.6, 584.0, 698.0, 845.6, 1022.4, 1320.8, 1584.6, 1853.4, 2101.6, 2403.2, 2730.4, 3148.4, 3824.6]
['Bosnia and Herzegovina', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 2.8, 9.4, 21.2, 35.0, 40.4, 48.2, 55.6, 65.4, 78.4, 102.0, 123.2, 135.2, 144.2, 152.6, 157.2, 159.8, 163.0, 168.4, 172.0, 180.8, 190.0, 209.0, 225.4, 247.0, 273.2, 303.0, 353.0, 450.4]
['Botswana', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.8, 2.0, 2.4]
['Brazil', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 12.0, 61.6, 169.4, 435.6, 927.2, 1548.6, 2457.0, 3656.8, 5523.4, 7541.0, 10527.8, 14064.8, 17972.0, 22742.4, 27675.6, 32546.2, 37521.0, 42551.6, 47685.8, 52661.6, 57712.2, 62964.4, 67954.8, 73180.2, 78583.8, 84005.4, 88911.6, 94125.2, 103986.4]
['Brunei', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]
